SCHOOL,State,State (full),Latitude,Longitude,SCHOOLKEY,SEASON,SCHOOLDIVISION,SCHOOLCONFERENCEABBR,Phils/Brewers List,Dummy
American University,DC,DISTRICT OF COLUMBIA,38.937802,-77.090106,"2,663",2019,,DC,,1
American University of Health Sciences,CA,CALIFORNIA,33.797115,-118.171442,"2,664",2019,,CA,,1
Americas High School (TX),TX,TEXAS,31.730157,-106.27573,41,2019,HS,TX,X,1
AmeriTech College-Draper,UT,UTAH,40.527932,-111.892792,"2,665",2019,,UT,,1
AmeriTech College-Provo,UT,UTAH,40.261512,-111.669276,"2,666",2019,,UT,,1
AMG School of Licensed Practical Nursing,NY,NEW YORK,40.692794,-73.982035,"2,667",2019,,NY,,1
Amherst College,MA,MASSACHUSETTS,42.372459,-72.518493,42,2019,3,New England Small College Athletic Conference,,1
Ammi Barber Academy,TX,TEXAS,30.05473,-99.150141,"2,669",2019,,TX,,1
Amridge University,AL,ALABAMA,32.362609,-86.17401,"2,670",2019,,AL,,1
Anabaptist Mennonite Biblical Seminary,IN,INDIANA,41.656093,-85.972222,"2,671",2019,,IN,,1
Ancilla College,IN,INDIANA,41.337958,-86.445263,"2,672",2019,,IN,,1
Andale High School (KS),KS,,,,43,2019,HS,KS,,1
Anderson University,IN,INDIANA,40.112167,-85.662292,"2,673",2019,,IN,,1
Anderson University-Indiana,IN,INDIANA,40.1115,-85.6651,44,2019,3,Heartland Collegiate Athletic Conference,,1
Anderson University-South Carolina,SC,SOUTH CAROLINA,34.5146,-82.6394,45,2019,2,South Atlantic Conference,,1
Andover High School (KS),KS,,,,46,2019,HS,KS,,1
Andover High School (Massachusetts),MA,,,,47,2019,HS,MA,,1
Andover Newton Theological School,MA,MASSACHUSETTS,42.324852,-71.188943,"2,674",2019,,MA,,1
Andrean High School (IN),IN,INDIANA,41.51033,-87.33482,48,2019,HS,IN,X,1
Andrew College,GA,GEORGIA,31.772321,-84.795021,49,2019,JC,Georgia Collegiate Athletic Association,,1
Andrew Jackson High School (SC),SC,SOUTH CAROLINA,34.57328,-80.62024,,2019,HS,SC,X,1
Andrews University,MI,MICHIGAN,41.963859,-86.355815,"2,675",2019,,MI,,1
Angeles College,CA,CALIFORNIA,34.061223,-118.29903,"2,676",2019,,CA,,1
Angeles Institute,CA,CALIFORNIA,33.875772,-118.080741,"2,677",2019,,CA,,1
Angelina College,TX,TEXAS,31.287444,-94.731625,50,2019,JC,Southwest Junior College Conference,,1
Angelo State University,TX,TEXAS,31.44145,-100.466495,51,2019,2,Lone Star Conference,X,1
Anna Maria College,MA,MASSACHUSETTS,42.33055,-71.918961,52,2019,3,Great Northeast Athletic Conference,,1
Anne Arundel Community College,MD,MARYLAND,39.049813,-76.512223,"2,678",2019,,MD,,1
Annenberg School of Nursing,CA,CALIFORNIA,34.200825,-118.553851,"2,679",2019,,CA,,1
Anoka Technical College,MN,MINNESOTA,45.216331,-93.415955,"2,680",2019,,MN,,1
Anoka-Ramsey Community College,MN,MINNESOTA,45.172978,-93.351697,"2,681",2019,,MN,,1
Anson College of Cosmetology,NC,NORTH CAROLINA,34.96348,-80.055061,"2,682",2019,,NC,,1
Antelope Valley College,CA,CALIFORNIA,34.676207,-118.186166,"2,683",2019,,CA,,1
Antioch College,OH,OHIO,39.799806,-83.888077,"2,684",2019,,OH,,1
Antioch High School,CA,,,,53,2019,HS,CA,,1
